Country,ISO,Сумма Процент зараженных,Сумма Процент смертей,Сумма ВВП,Среднедушевой доход
Togo,TGO,"0,00%","0,00%",14.972,279
Tonga,TON,,,0.624,
Trinidad and Tobago,TTO,"0,01%","0,00%",44.946,
Tunisia,TUN,"0,01%","0,00%",148.688,1646
Turkey,TUR,"0,17%","0,00%",2361.778,2538
Turkmenistan,TKM,,,121.848,
Tuvalu,TUV,,,0.049,
Uganda,UGA,"0,00%","0,00%",118.694,296
Ukraine,UKR,"0,04%","0,00%",409.825,3876
United Arab Emirates,ARE,"0,22%","0,00%",744.092,
United Kingdom,GBR,"0,35%","0,05%",3162.408,12399
United States of America,USA,"0,43%","0,03%",21427.675,15480
Uruguay,URY,"0,02%","0,00%",82.791,2488
Uzbekistan,UZB,"0,01%","0,00%",303.317,
Vanuatu,VUT,,,0.851,
Venezuela,VEN,"0,00%","0,00%",202.009,
Vietnam,VNM,"0,00%","0,00%",1001.478,1124
Yemen,YEM,"0,00%","0,00%",72.133,400
Zambia,ZMB,"0,00%","0,00%",75.857,287
Zimbabwe,ZWE,"0,00%","0,00%",39.739,
